Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,0.01174448788744156,-0.02950731667082383,-3.014266210852213
1.079775162327709,0.01202983520137722,-0.03132095757051923,-3.255973302120211
1.165914401179831,0.01099708127110241,-0.02898341327538282,-3.510093885313474
1.258925411794166,0.01082392308232761,-0.03110422256044459,-3.790830180748586
1.359356390878524,0.01150224356675236,-0.03151822933237498,-4.085780611611
1.467799267622071,0.008169896357631438,-0.02834332202043177,-4.408796393671443
1.584893192461114,0.01021562386010376,-0.029199500699102,-4.745308636942173
1.711328304161781,0.009822305274661198,-0.02835696501327704,-5.120183737635678
1.847849797422291,0.01202821211547597,-0.03107644981373704,-5.528523108419073
1.995262314968883,0.009630899619011283,-0.02802652084613555,-5.960766368067851
2.154434690031882,0.01018866075139427,-0.0279058395312971,-6.434100549215074
2.326305067153629,0.008205153883042188,-0.02413739411811847,-6.935879682370967
2.511886431509577,0.008857304912149514,-0.02256920958032496,-7.506047351946791
2.712272579332029,0.006510320654553154,-0.01893300203798287,-8.107299515350292
2.928644564625237,0.00601074201719828,-0.01465552634924563,-8.749267690921968
3.16227766016838,0.004794410532742441,-0.007861957086071073,-9.450158069141558
3.414548873833601,0.002134333885119503,-0.003263612544562,-10.19201363043033
3.686945064519574,0.0008778618810336718,0.003145325454133624,-11.04680892685679
3.98107170553497,-0.002449877173878092,0.0124441650457387,-11.92493659513114
4.298662347082281,-0.001421435125552164,0.02244918597112588,-12.90593820821758
4.641588833612772,-0.004947179427539279,0.03290602957098997,-13.97791386092811
5.011872336272726,-0.00714800872169969,0.04735474823412612,-15.16184705577609
5.411695265464638,-0.02471029223191501,0.07983114293131302,-16.42424074068724
5.843414133735175,-0.01788926796044569,0.08908126544996128,-17.8387675947135
6.309573444801929,-0.02304403913575107,0.1141467105271166,-19.39045826867229
6.812920690579609,-0.02828718211349134,0.1420818373047728,-21.10999288983999
7.356422544596422,-0.03545044508434822,0.1780519453837831,-23.02370883019364
7.943282347242806,-0.04457300352899463,0.2150432040571182,-25.09528009313989
8.576958985908945,-0.05448402916760484,0.2537009020174596,-27.47753790917966
9.261187281287937,-0.06690175886790795,0.2986213458444986,-30.13483362468226
10,-0.08033853009153086,0.3413156119721158,-33.13359606291011
10.79775162327709,-0.09704186111314822,0.3830022892060314,-36.53543348456274
11.65914401179832,-0.1147328895687005,0.413296685758843,-40.3970528474928
12.58925411794166,-0.136719074880467,0.4231753903213464,-44.79559144528235
13.59356390878525,-0.1610871150101371,0.4009352360630499,-49.77269960947376
14.67799267622071,-0.1877726099795004,0.3248161414874996,-55.38441191528377
15.84893192461114,-0.211960768971227,0.1654055454290512,-61.60871400651943
17.11328304161781,-0.2350509671679848,-0.09521665926308975,-68.37575707882857
18.47849797422293,-0.253860120629775,-0.4833058925460447,-75.52662051796028
19.95262314968879,-0.2637575980971391,-1.011497758407029,-82.87735812621145
21.54434690031882,-0.2632573189581241,-1.697108682487278,-90.2083976943828
23.26305067153626,-0.2530526270595188,-2.501094748519312,-97.367756700504
25.11886431509582,-0.2509568027003978,-3.429198090379892,-103.9928287656717
27.12272579332027,-0.2270752931491422,-4.463314238531593,-110.2369525396291
29.28644564625237,-0.2100072618383996,-5.557351849525966,-115.8980514576588
31.62277660168379,-0.1928227445594198,-6.716038656523234,-120.9698599660414
34.14548873833601,-0.1771259498368219,-7.929306262330434,-125.5339199463502
36.86945064519577,-0.1562690071376377,-9.163283911559665,-129.6930486981704
39.81071705534978,-0.1384848734946448,-10.40719881041461,-133.3981094842868
42.98662347082277,-0.1217789105016949,-11.68309100905082,-136.6637024695967
46.41588833612772,-0.1133421615451528,-12.95724339435728,-139.6039649681028
50.11872336272725,-0.09321176271736453,-14.24281425623703,-142.308787843006
54.11695265464638,-0.08919667151665944,-15.53892386056723,-144.5315172848483
58.43414133735175,-0.07674848533903457,-16.8295786158376,-146.691793477716
63.0957344480193,-0.06706832672517196,-18.11691847528691,-148.5313792060076
68.12920690579615,-0.05206786947658086,-19.39703045400594,-150.3028599892477
73.56422544596407,-0.04954507857037925,-20.6744092506062,-151.5812183116507
79.43282347242813,-0.03760048303213186,-21.96753175896026,-153.2601485026474
85.76958985908946,-0.03799652218135988,-23.25303153134418,-154.1570847047151
92.61187281287938,-0.03888450409338926,-24.60861092193486,-154.9992065244986
100,-0.02848906888782198,-25.87244804735613,-155.8760287848648
107.9775162327711,-0.03291730744092557,-27.18950579333257,-156.5817472066181
116.5914401179831,-0.03347021682832586,-28.51905201353024,-156.6157011638148
125.8925411794166,-0.02221718479147046,-29.7440604664969,-157.0079150024923
135.9356390878527,-0.01999728834438225,-31.14336345606178,-157.285385804163
146.7799267622071,-0.01973883068582528,-32.3284704161435,-156.2986643603679
158.4893192461113,-0.01482516045290975,-33.59185972160205,-158.4361046421539
171.1328304161781,-0.01648918611854315,-34.93634889323518,-155.4351675350528
184.7849797422291,-0.01441465028633089,-36.05581321138972,-155.6026430567485
199.5262314968879,-0.02550411838467482,-37.69779897677657,-155.620237791334
215.4434690031884,-0.01868127576509888,-38.68465094697324,-156.7614992180236
232.6305067153629,-0.02645285175802041,-39.89485386548841,-151.2907171661803
251.1886431509579,-0.03500944474618872,-41.34777898647602,-151.9545630736666
271.227257933203,-0.03756666414935907,-42.25950173396527,-148.9725215350673
292.8644564625237,-0.05729151744547586,-44.92018782356926,-151.6029901678676
316.227766016838,-0.05476431110394314,-44.4535375322052,-143.6743248223372
341.4548873833604,-0.07202511361767844,-45.6583853615139,-140.6207805386398
368.6945064519574,-0.0902340471030459,-46.58987223622101,-135.7890855765858
398.1071705534973,-0.108182882321066,-47.44069338949785,-134.9065508431917
429.8662347082272,-0.1323742070855724,-48.09069359444013,-127.178973365625
464.1588833612777,-0.1638801200447128,-48.57650675113707,-123.9723224872549
501.1872336272725,-0.1945374754780149,-49.08284788855352,-118.2493832007752
541.1695265464638,-0.2304233034052831,-48.95925273151273,-114.9015490041994
584.3414133735175,-0.2791819732494003,-48.6612932648944,-109.6170340814379
630.9573444801937,-0.3364473991814898,-49.36718175668801,-108.2260473892754
681.2920690579608,-0.3966028853146581,-48.16940416459323,-107.5058145078854
735.6422544596413,-0.4730762564854477,-48.25369352411421,-97.55391325688714
794.3282347242814,-0.5587647590894153,-47.164045780493,-96.45657733223914
857.6958985908946,-0.6653349233709334,-47.73634850509516,-97.69932854952104
926.1187281287938,-0.7841257113497064,-47.1826526705154,-95.42334827730377
1000,-0.9171413804160977,-46.93684088783577,-89.3546392145584
1079.77516232771,-1.058734988137017,-46.18981219499881,-95.44272100698842
1165.914401179831,-1.210475881090704,-45.39075758629809,-96.78109805446572
1258.925411794168,-1.391351056179622,-45.07013634514387,-93.73009267176676
1359.356390878526,-1.583527188340524,-45.63261560673119,-91.73741238711605
1467.799267622069,-1.799186196817001,-45.56289696092193,-91.71874835097074
1584.893192461114,-2.014536897414824,-43.37398087380688,-92.42358417139212
1711.328304161779,-2.257068087958049,-43.00175197583468,-95.68361596140602
1847.849797422291,-2.567061182246733,-42.68404699322113,-93.6278475625486
1995.262314968881,-2.94181352021126,-42.0306397449469,-90.76270598869893
2154.434690031882,-3.360258764855189,-41.50099363148519,-94.10068503052506
2326.305067153626,-3.815864138949133,-41.22828618926641,-93.89152340226329
2511.886431509582,-4.300618700540583,-40.10037059104664,-91.59473372756338
2712.272579332027,-4.818198757822985,-39.96277234740638,-93.79791795000976
2928.644564625237,-5.328646911069425,-38.85047082819124,-94.03632511001689
3162.277660168378,-5.868630988246664,-38.5121048036817,-93.75252673244886
3414.5488738336,-6.395681522879125,-37.90429129688994,-96.35759254643887
3686.945064519577,-6.931568560842193,-37.78584231986373,-93.10965759779842
3981.071705534971,-7.482220807831633,-36.94523220354761,-95.64902670909839
4298.662347082276,-8.03610737536706,-36.30650909546916,-94.58604643101485
4641.588833612777,-8.595631614553803,-35.06900006346473,-97.66503323806081
5011.872336272722,-9.14586706406455,-34.7622821943319,-96.387628599707
5411.695265464637,-9.708755022382961,-34.4900938548495,-98.59502367582212
5843.414133735176,-10.27549336660567,-32.74710881425244,-90.63783575570972
6309.573444801933,-10.76251654401432,-33.6164587472561,-103.5307559986602
